1972	717
1979	690
1963	689
1966	675
1985	668
1968	801
1953	786
1974	772
1981	750
1963	739
1970	821
1951	825
2003	653
1941	652
1962	646
1990	631
1960	628
1917	813
1947	808
1904	798
1928	797
1904	781
1934	781
1916	760
1943	758
1897	751
1924	745
1938	730
1913	729
1893	727
1955	705
1896	704
1921	702
1889	688
1906	683
1937	679
1883	664
1852	465
1867	463
1857	443
1851	422
1875	408
1849	395
1927	443
1884	436
1890	419
1902	399
1902	444
1883	388
1869	374
1884	371
1876	349
1870	334
1794	405
1804	418
1814	408
1828	407
1806	392
1832	438
1927	522
1933	498
1917	488
1948	488
1922	474
1937	467
1894	512
1885	499
1890	472
1752	495
1755	515
1755	458
1768	458
1798	463
1799	488
1738	511
1860	523
1876	521
1855	508
1873	490
1850	734
1857	698
1863	677
1872	728
1874	706
1846	769
1839	786
1873	764
1816	631
1831	610
1835	647
1843	626
1852	660
1860	640
1809	721
1814	698
1826	743
1830	675
1833	717
1823	762
1769	621
1779	656
1790	634
1795	671
1799	613
1807	656
1885	570
1893	642
1915	637
1930	626
1915	661
1819	548
1872	548
1848	543
1811	528
1833	524
1741	530
1741	550
1763	537
1766	553
1790	549
1756	576
1759	596
1778	597
1778	573
1790	592
1801	568
1810	590
1834	578
1855	565
1856	604
1861	583
1874	592
1731	628
1735	590
1737	571
1741	611
1751	633
1755	646
1714	540
1700	536
1720	518
1707	518
1733	478
1711	472
1736	459
1715	457
1691	633
1712	615
1714	590
1697	581
1710	573
1707	558
1710	648
1735	647
1745	660
1631	496
1649	494
1714	493
1693	480
1646	672
1633	653
1659	643
1644	639
1624	635
1650	618
1648	599
1623	596
1641	582
1631	565
1635	545
1651	539
1618	537
1649	520
1630	517
1613	503
1589	579
1598	596
1599	554
1613	575
1584	642
1564	621
1576	593
1565	564
1583	563
1577	489
1578	474
1571	507
1570	539
1529	643
1558	643
1540	625
1546	606
1532	592
1556	579
1541	569
1551	550
1527	544
1556	523
1518	591
1507	589
1489	576
1518	566
1500	549
1594	670
1600	652
1611	620
1591	617
1622	683
1609	697
1638	691
1489	691
1474	689
1503	687
1505	627
1497	613
1551	693
1529	688
1543	661
1527	658
1576	717
1566	699
1577	696
1568	676
1570	660
1571	733
1549	750
1529	739
1554	735
1524	726
1554	718
1527	707
1117	636
1144	617
1125	608
1130	589
1066	557
1075	544
1087	563
1100	546
1109	573
1122	564
1082	609
1099	592
1073	587
1053	581
1059	643
1090	633
1041	631
1067	628
1034	763
1036	703
1039	745
1051	719
1056	776
1058	744
1152	668
1180	659
1179	647
1158	646
1059	691
1044	678
1068	660
1041	659
1111	723
1130	713
1113	697
1137	690
1107	674
1121	659
1171	721
1187	711
1155	702
1196	695
1172	686
1194	673
1145	725
1080	706
1087	680
1096	656
1100	715
1083	736
1082	763
985	724
996	748
1009	770
1021	744
1015	716
1014	694
1008	615
1024	597
1037	584
1019	564
1054	606
1038	609
1006	541
1025	517
1036	542
1047	523
1051	542
945	655
949	630
961	661
975	643
966	610
986	606
970	589
952	583
998	579
934	587
980	566
953	557
968	549
966	521
990	514
932	553
928	512
942	532
924	613
909	605
917	575
904	566
915	532
927	689
902	680
926	673
923	658
905	652
923	642
876	673
887	657
870	638
871	621
882	610
869	590
894	588
874	568
892	558
867	548
873	523
894	511
895	538
971	398
1007	392
990	391
976	376
993	369
840	383
848	406
941	404
950	379
933	458
973	457
953	447
927	429
960	427
979	434
991	416
997	462
1000	436
1017	417
1023	441
993	489
973	498
953	498
935	483
975	476
960	474
912	503
919	491
887	490
1053	500
1022	495
1049	475
1028	469
1047	452
836	506
818	503
797	496
820	485
816	471
792	470
830	453
805	448
810	431
786	431
826	427
853	426
776	366
779	390
808	356
812	375
815	398
835	362
735	469
748	466
765	453
738	444
754	429
737	418
766	411
757	388
773	508
746	507
748	493
731	491
772	485
799	553
830	551
792	539
819	532
791	521
804	600
825	594
802	574
819	573
830	569
760	601
781	583
757	579
777	556
752	541
770	529
778	639
808	634
756	625
781	620
713	630
719	610
727	602
729	629
733	643
739	601
738	582
795	702
775	699
816	689
763	684
790	684
796	663
768	654
757	659
818	654
705	716
712	694
737	689
700	671
737	664
760	744
794	727
763	719
749	714
781	771
793	768
777	762
793	758
772	749
806	745
705	780
717	763
696	760
727	752
711	737
722	730
658	828
657	801
649	776
666	757
648	747
650	722
666	714
661	733
667	690
674	816
677	786
683	839
691	773
682	732
686	708
685	685
690	669
728	842
709	838
699	826
728	824
695	804
719	803
743	852
743	828
754	818
748	803
739	788
735	771
840	764
856	754
841	741
842	729
822	724
851	821
867	812
853	798
866	791
855	777
865	768
788	792
826	808
827	790
831	825
877	858
818	856
865	846
838	842
702	893
698	879
720	878
720	859
700	857
644	893
666	887
671	863
656	853
857	901
843	889
861	870
843	868
741	876
795	895
811	904
818	885
831	906
790	937
768	936
809	930
765	920
786	919
803	914
565	826
569	853
591	854
604	854
591	834
588	816
574	875
593	875
533	900
542	928
554	909
561	936
572	920
576	900
495	906
504	922
515	908
519	937
503	889
488	885
516	882
467	873
497	868
477	858
524	871
546	864
553	887
440	846
451	825
476	832
494	838
528	846
529	830
511	852
534	670
559	667
519	661
557	657
535	650
550	641
603	717
581	701
605	692
592	677
580	664
537	720
559	711
541	688
571	677
603	768
586	756
605	747
585	742
616	731
582	728
491	756
499	768
499	742
